job_id,company_id,title,role,location,work_type,salary_min,salary_max,posting_date,skills_required
J00073,C0002,Television camera operator,"Engineer, civil (consulting)",Zacharyborough,Part-time,32489,127708,2025-04-21,"Python,Machine Learning"
J00074,C0049,Barista,Actor,South Davidland,Internship,63931,106617,2025-02-02,"Data Analysis,Java"
J00075,C0077,Health physicist,Stage manager,Port Frankview,Internship,65916,125585,2025-07-21,"Java,C++"
J00076,C0027,Gaffer,Air traffic controller,Kevinbury,Internship,52795,125792,2025-07-13,"AI,Data Analysis"
J00077,C0051,"Development worker, community",Insurance account manager,New Timothy,Part-time,53656,89156,2025-02-18,"AI,Management,Python,Communication,Machine Learning"
J00078,C0058,"Scientist, research (maths)","Engineer, drilling",Mcguireborough,Part-time,55372,98832,2025-01-28,"Python,Data Analysis"
J00079,C0004,Housing manager/officer,"Pharmacist, hospital",Kennethland,Part-time,51905,88296,2025-05-23,"Design,Communication"
J00080,C0055,Special educational needs teacher,Lexicographer,Lake Elizabethchester,Part-time,40276,113203,2025-08-12,"Management,SQL,C++,Data Analysis"
J00081,C0023,Bookseller,Meteorologist,Cruzberg,Internship,33120,85941,2025-07-30,"AI,Data Analysis"
J00082,C0050,"Accountant, chartered management",Chief Operating Officer,West Fredside,Part-time,43265,101784,2025-04-23,"C++,Communication,Design"
J00083,C0038,Writer,Arts development officer,Mitchellborough,Part-time,61184,115554,2025-01-07,"Cloud Computing,Data Analysis,Python"
J00084,C0061,Location manager,"Programme researcher, broadcasting/film/video",Alejandraton,Full-time,38926,72338,2025-05-13,"Python,AI"
J00085,C0092,Art gallery manager,"Education officer, environmental",Williamsberg,Full-time,41026,70326,2025-02-01,"Management,SQL,Machine Learning,Communication,Cloud Computing"
J00086,C0019,Control and instrumentation engineer,Photographer,Port Sierrashire,Full-time,30528,92894,2025-04-30,"Machine Learning,C++,Cloud Computing,SQL"
J00087,C0089,"Therapist, speech and language","Doctor, general practice",Meganport,Internship,61271,76119,2025-01-13,"Python,Cloud Computing,Data Analysis"
J00088,C0052,Social worker,"Clinical scientist, histocompatibility and immunogenetics",Thomasstad,Part-time,65143,101130,2025-02-11,"Python,C++,Design,SQL,Management"
J00089,C0097,Museum/gallery conservator,Engineering geologist,Wilsonville,Internship,44468,93268,2025-05-29,"Marketing,AI,Design"
J00090,C0071,Commissioning editor,"Doctor, general practice",West Steven,Internship,55593,127597,2025-01-19,"C++,Design,Python,SQL,Management"
J00091,C0020,"Psychotherapist, child",Outdoor activities/education manager,North Michaelborough,Internship,36328,84139,2025-01-31,"SQL,Java,Machine Learning,Marketing"
J00092,C0046,Ambulance person,Operations geologist,Barbaraberg,Part-time,31774,91039,2025-08-09,"Communication,Machine Learning,SQL,Cloud Computing"
J00093,C0008,Dealer,Applications developer,Sanchezfort,Full-time,46261,139960,2025-03-15,"Data Analysis,AI,Marketing"
J00094,C0020,Microbiologist,Special effects artist,New Tinafurt,Internship,38208,119626,2025-06-29,"Management,Cloud Computing,Java,SQL,Machine Learning"
J00095,C0008,Mining engineer,Financial controller,Burkeport,Internship,59062,138656,2025-01-17,"Management,SQL,Design"
J00096,C0026,"Engineer, structural",Industrial/product designer,Port Haleychester,Internship,48486,109807,2025-08-01,"Marketing,Cloud Computing,AI"
J00097,C0097,Publishing rights manager,Location manager,Bushfort,Full-time,66533,122432,2025-07-26,"C++,Design,Management,SQL,Communication"
J00098,C0028,Chartered accountant,Sports therapist,Hernandezfort,Internship,68053,93668,2025-08-08,"Machine Learning,AI,Java"
J00099,C0004,Photographer,Passenger transport manager,Jocelynstad,Full-time,53470,71251,2025-01-25,"Data Analysis,C++,Cloud Computing,Machine Learning"
J00100,C0001,Youth worker,"Engineer, building services",West Charles,Internship,40570,143789,2025-07-19,"C++,AI,Data Analysis,Machine Learning,Cloud Computing"
J00101,C0096,Public librarian,Orthoptist,North Melissa,Part-time,69610,120080,2025-05-03,"Marketing,Cloud Computing,Python,Java,Management"
J00102,C0009,Risk manager,Broadcast engineer,Johnsonhaven,Full-time,41233,129980,2025-07-05,"Machine Learning,Marketing,Management"
J00103,C0044,"Librarian, academic",Arts administrator,New Gregory,Internship,36192,108277,2025-04-23,"Python,Data Analysis,Machine Learning,Marketing,Management"
J00104,C0081,Dramatherapist,Landscape architect,North Anna,Part-time,54001,119553,2025-07-22,"AI,Marketing,Data Analysis,Machine Learning,Python"
J00105,C0058,Veterinary surgeon,Product manager,Seanport,Full-time,31507,99033,2025-03-09,"Communication,Python,Management,SQL"
J00106,C0032,Risk manager,Agricultural engineer,Jamesstad,Internship,52883,134712,2025-07-12,"Machine Learning,C++,Communication,Cloud Computing"
J00107,C0077,Hospital doctor,Soil scientist,Alvaradomouth,Full-time,57881,127643,2025-04-10,"Java,Data Analysis"
J00108,C0005,Arboriculturist,Building control surveyor,West Kimberly,Full-time,47144,138407,2025-05-05,"Data Analysis,Communication,SQL"
J00109,C0024,Museum/gallery curator,Patent attorney,New Markberg,Internship,31881,79397,2025-07-08,"Cloud Computing,Management,Data Analysis,Machine Learning,Design"
J00110,C0087,Hospital doctor,Medical technical officer,Lake Alyssatown,Part-time,61359,142491,2025-07-05,"Design,Management,Java,AI,Communication"
J00111,C0086,Television floor manager,"Journalist, broadcasting",Garciaburgh,Part-time,49457,123084,2025-05-23,"C++,Management,Design,Machine Learning,Python"
J00112,C0050,Air traffic controller,Oceanographer,West Ashley,Internship,59500,112503,2025-05-14,"Cloud Computing,C++"
J00113,C0012,Broadcast engineer,Tourist information centre manager,Danielberg,Internship,33483,91005,2025-04-13,"Machine Learning,Communication,Data Analysis"
J00114,C0019,"Surveyor, mining",Clinical cytogeneticist,Williammouth,Part-time,68515,134023,2025-01-02,"AI,Java,Design,Management"
J00115,C0011,"Clinical scientist, histocompatibility and immunogenetics",Consulting civil engineer,Lake Nicholas,Part-time,33121,126336,2025-01-15,"SQL,Management,Cloud Computing"
J00116,C0098,Dietitian,"Administrator, Civil Service",East Jennifer,Full-time,57726,90070,2025-03-06,"Cloud Computing,AI,Management"
J00117,C0045,Human resources officer,Herpetologist,Lake Oscar,Internship,51160,139165,2025-06-09,"Cloud Computing,Design,Machine Learning,Java"
J00118,C0029,Television/film/video producer,Animal nutritionist,Samuelhaven,Part-time,64865,120861,2025-07-28,"C++,Data Analysis"
J00119,C0035,"Secretary, company",Television/film/video producer,East Matthew,Internship,64673,107075,2025-06-19,"Marketing,Cloud Computing,Java"
J00120,C0054,Archivist,"Merchandiser, retail",Port Sean,Part-time,56575,116307,2025-01-17,"Python,C++"
J00121,C0014,"Accountant, chartered","Sales professional, IT",Robertaburgh,Part-time,66938,94076,2025-02-14,"Management,SQL,Marketing"
J00122,C0013,Orthoptist,Chartered public finance accountant,South Brent,Full-time,46604,78032,2025-03-17,"Design,Cloud Computing"
J00123,C0068,Materials engineer,Illustrator,Robertsside,Full-time,40775,114386,2025-06-04,"Design,Machine Learning,Marketing"
J00124,C0063,Chief Executive Officer,"Sound technician, broadcasting/film/video",Lake George,Internship,40742,144225,2025-07-27,"Python,AI,Design,Management"
J00125,C0084,Geoscientist,Nutritional therapist,Danielstown,Internship,40585,141719,2025-06-15,"Data Analysis,C++,Machine Learning,Communication,AI"
J00126,C0023,Landscape architect,Freight forwarder,Wongberg,Full-time,61279,72562,2025-01-23,"AI,Management"
J00127,C0099,Ambulance person,Barista,Masonshire,Part-time,32967,113313,2025-04-18,"C++,Marketing"
J00128,C0072,Broadcast presenter,Database administrator,Ryantown,Part-time,35114,137706,2025-06-19,"Java,Python,SQL"
J00129,C0100,Theatre director,"Scientist, research (medical)",Port Kyle,Full-time,56600,105115,2025-07-11,"Machine Learning,Java,Design,Python"
J00130,C0033,Homeopath,Chartered management accountant,Williamston,Full-time,54628,123614,2025-07-31,"Management,C++"
J00131,C0067,Counselling psychologist,Furniture conservator/restorer,Parkermouth,Full-time,67399,118457,2025-02-15,"Data Analysis,Marketing,AI,Machine Learning,Communication"
J00132,C0012,"Education officer, community","Biochemist, clinical",East Victor,Internship,65725,77944,2025-02-21,"Cloud Computing,Python"
J00133,C0098,Furniture designer,Holiday representative,West Sarahfurt,Full-time,60477,125484,2025-08-11,"Marketing,Design,Python"
J00134,C0097,Artist,Ophthalmologist,Kellystad,Part-time,55022,142056,2025-08-04,"Data Analysis,Marketing"
J00135,C0039,"Programmer, applications",Printmaker,Buckton,Internship,52287,101016,2025-04-14,"Design,Machine Learning,C++"
J00136,C0043,Cartographer,Publishing copy,Danielbury,Part-time,69261,137830,2025-06-10,"Design,Communication"
J00137,C0053,"Secretary, company",Learning disability nurse,Thomasport,Part-time,44197,110288,2025-02-17,"Management,Design,Java,Data Analysis"
J00138,C0040,Production manager,Clinical embryologist,Lake Keithmouth,Part-time,39612,141851,2025-04-09,"Java,Machine Learning"
J00139,C0037,Insurance claims handler,Social worker,Dawnview,Full-time,60024,120246,2025-02-12,"Management,Java,Marketing,C++,Machine Learning"
J00140,C0065,Engineering geologist,Pharmacologist,Eddieton,Part-time,47205,74109,2025-03-07,"Data Analysis,Java,C++,Machine Learning,AI"
J00141,C0031,Sport and exercise psychologist,Senior tax professional/tax inspector,West John,Part-time,61353,117822,2025-03-05,"Design,Data Analysis"
J00142,C0050,Counsellor,Social worker,Freemanmouth,Full-time,49379,109077,2025-02-13,"Python,Marketing"
J00143,C0029,"Administrator, arts",Housing manager/officer,West Scottside,Internship,49537,133096,2025-06-16,"Machine Learning,Marketing,Design,Java"
J00144,C0082,"Surveyor, quantity",Health and safety adviser,Maddoxfort,Internship,65207,98762,2025-06-11,"Design,Python"
J00145,C0041,Clinical molecular geneticist,IT technical support officer,Port Curtisstad,Internship,50347,93008,2025-07-04,"Cloud Computing,C++"
J00146,C0019,Corporate treasurer,"Administrator, education",Molinamouth,Full-time,42734,103955,2025-02-09,"Java,AI,Machine Learning,Management"
J00147,C0060,Forensic psychologist,Fitness centre manager,Glennbury,Internship,32905,128267,2025-01-09,"Design,AI,Management,Java,Machine Learning"
J00148,C0027,"Embryologist, clinical",Tourist information centre manager,Port Michelle,Full-time,57072,100504,2025-08-10,"Python,SQL,Cloud Computing,Machine Learning,Design"
J00149,C0015,Interior and spatial designer,"Editor, film/video",Tylershire,Full-time,68364,93502,2025-02-13,"Cloud Computing,C++,Design"
J00150,C0083,Trading standards officer,"Designer, interior/spatial",Lake James,Part-time,65791,119096,2025-03-10,"C++,Cloud Computing"
J00151,C0012,Sales promotion account executive,"Presenter, broadcasting",Williamsmouth,Internship,65135,148598,2025-05-04,"Java,Design,AI,Machine Learning,Data Analysis"
J00152,C0036,Dance movement psychotherapist,"Clinical scientist, histocompatibility and immunogenetics",Andersonview,Internship,69943,110038,2025-08-15,"Python,SQL,C++,Marketing"
J00153,C0053,Industrial buyer,Petroleum engineer,Hernandezmouth,Full-time,40938,134478,2025-02-26,"Design,Java,Management,Data Analysis"
J00154,C0051,"Psychologist, counselling",Sports coach,Lake Elizabethport,Part-time,54471,72683,2025-08-02,"Design,Cloud Computing"
J00155,C0066,Volunteer coordinator,"Administrator, Civil Service",Lake Robert,Part-time,62167,116898,2025-05-01,"Java,Data Analysis,Python,SQL,Cloud Computing"
J00156,C0054,Pension scheme manager,Police officer,Lake Sara,Internship,67252,109734,2025-02-18,"Java,Design,Python"
J00157,C0098,"Pharmacist, community","Administrator, sports",North Austin,Internship,32306,110115,2025-01-22,"Marketing,Management,Machine Learning,Communication"
J00158,C0016,"Surveyor, mining",Museum/gallery conservator,Craigchester,Full-time,48837,83039,2025-07-10,"Communication,Python,Marketing"
J00159,C0012,Ranger/warden,"Librarian, academic",West Donna,Internship,58478,117696,2025-02-28,"C++,Communication,Management,Marketing,Python"
J00160,C0013,Restaurant manager,Systems analyst,Maryhaven,Internship,68051,147792,2025-08-17,"C++,Communication,AI,Cloud Computing"
J00161,C0016,Public house manager,Seismic interpreter,Hornechester,Part-time,48832,102484,2025-04-21,"Marketing,SQL"
J00162,C0028,"Therapist, nutritional",Archaeologist,Morseshire,Internship,42452,95874,2025-03-22,"Design,Cloud Computing,Marketing"
J00163,C0063,Cartographer,Database administrator,Mercadofort,Full-time,45940,108549,2025-03-24,"Marketing,Data Analysis,Management,C++"
J00164,C0042,"Engineer, manufacturing",Race relations officer,Marshallhaven,Part-time,55913,88994,2025-04-13,"Cloud Computing,SQL"
J00165,C0100,"Librarian, public",Purchasing manager,North Kellyfurt,Full-time,41337,79933,2025-04-12,"AI,Java,Marketing,SQL,C++"
J00166,C0069,Fashion designer,Copy,Melindaborough,Internship,42852,103144,2025-03-17,"Data Analysis,SQL,Python,Java,Management"
J00167,C0096,Higher education lecturer,Charity fundraiser,South Dana,Part-time,62920,121935,2025-05-27,"SQL,Java,Cloud Computing,Communication,Python"
J00168,C0029,Oceanographer,Diagnostic radiographer,North Alexander,Part-time,56737,96194,2025-05-14,"AI,Data Analysis,Management,Machine Learning"
J00169,C0041,Freight forwarder,"Therapist, sports",East Erikchester,Full-time,62705,106290,2025-03-16,"Python,SQL"
J00170,C0012,Commercial art gallery manager,Tourism officer,South Andrewhaven,Full-time,44507,144329,2025-06-26,"Machine Learning,Cloud Computing,Design,Communication,Marketing"
J00171,C0012,Public affairs consultant,Immunologist,New Jessicahaven,Full-time,33725,126491,2025-06-12,"AI,Python,SQL,Management"
J00172,C0033,Advertising account planner,Environmental manager,Lake James,Part-time,47935,120486,2025-05-21,"C++,Cloud Computing,Management"
J00173,C0008,Therapeutic radiographer,Banker,Bridgesbury,Part-time,67464,104871,2025-01-15,"Communication,SQL,Management"
J00174,C0096,Claims inspector/assessor,Tourism officer,Turnermouth,Internship,63808,146961,2025-07-17,"AI,Cloud Computing"
J00175,C0057,Sales executive,"Scientist, clinical (histocompatibility and immunogenetics)",Bryantburgh,Part-time,58495,86488,2025-03-15,"AI,Python,Cloud Computing,C++,Management"
J00176,C0027,Clothing/textile technologist,Child psychotherapist,New Linda,Internship,53483,116387,2025-08-13,"Python,Marketing,Machine Learning,Communication"
J00177,C0059,"Therapist, horticultural","Designer, graphic",North Jeffreybury,Internship,65200,81383,2025-05-09,"C++,Machine Learning,Java,Marketing"
J00178,C0095,"Therapist, music",Higher education lecturer,South Linda,Full-time,61423,125089,2025-02-13,"Python,Cloud Computing,SQL"
J00179,C0050,Pharmacologist,Higher education careers adviser,West Elizabethton,Internship,62584,88862,2025-01-10,"Design,C++,Management,AI"
J00180,C0026,"Biochemist, clinical",Information officer,Lake Davidborough,Part-time,46441,78931,2025-03-05,"C++,SQL,AI,Python,Management"
J00181,C0017,"Surveyor, land/geomatics",Transport planner,Grahamburgh,Full-time,32633,76218,2025-03-13,"C++,Python"
J00182,C0014,Museum/gallery curator,Electrical engineer,Pennytown,Full-time,54866,135325,2025-04-12,"Management,Machine Learning,SQL"
J00183,C0083,Psychiatrist,Human resources officer,Kimside,Part-time,55269,99703,2025-03-15,"C++,Data Analysis,SQL"
J00184,C0007,"Geologist, engineering",Arboriculturist,New Andreahaven,Full-time,41828,139016,2025-08-16,"Communication,Design"
J00185,C0037,Sales executive,Town planner,Mcintyrechester,Internship,52838,111639,2025-08-03,"Machine Learning,Java,AI,Design,Python"
J00186,C0004,Occupational hygienist,Cabin crew,Grossburgh,Full-time,56878,146573,2025-07-13,"Management,AI,Java,Machine Learning,Data Analysis"
J00187,C0027,Immigration officer,Exercise physiologist,Lake Brian,Full-time,33870,137043,2025-02-13,"Management,AI,Machine Learning,SQL,Communication"
J00188,C0005,Ranger/warden,Therapeutic radiographer,Port Elizabeth,Full-time,35752,125453,2025-03-10,"Management,Machine Learning,Communication"
J00189,C0058,Forest/woodland manager,Hydrogeologist,Hardyton,Internship,52445,83904,2025-07-15,"AI,C++,Machine Learning,SQL,Cloud Computing"
J00190,C0011,Games developer,"Designer, television/film set",Port Steven,Full-time,42459,107218,2025-08-05,"SQL,Machine Learning,C++,Data Analysis,Python"
J00191,C0053,Trade mark attorney,Jewellery designer,West Michaelberg,Internship,37714,121156,2025-08-03,"Communication,Python,C++,Design"
J00192,C0035,Local government officer,Newspaper journalist,Cindymouth,Internship,35011,71893,2025-01-24,"SQL,Data Analysis,Java,Python"
J00193,C0056,"Engineer, production",Immunologist,New Debra,Full-time,31207,91009,2025-03-31,"Python,C++,Communication,Java"
J00194,C0053,Personal assistant,"Surveyor, mining",Lewisburgh,Part-time,44083,145199,2025-08-14,"Java,Communication,Design,C++,Cloud Computing"
J00195,C0030,Cabin crew,Community education officer,West Erica,Full-time,34062,149997,2025-08-10,"Machine Learning,Java,Management,C++"
J00196,C0039,Automotive engineer,Contracting civil engineer,New Justin,Internship,57307,79465,2025-02-07,"Communication,AI,Management,Java,Marketing"
J00197,C0063,Diplomatic Services operational officer,Tour manager,Duncanfort,Full-time,53425,123524,2025-07-25,"C++,Marketing,Cloud Computing"
J00198,C0079,Careers adviser,"Investment banker, operational",South Rodney,Part-time,40027,125287,2025-07-19,"Cloud Computing,C++,SQL"
J00199,C0039,"Conservation officer, nature",IT trainer,Rodneyport,Internship,60746,136808,2025-07-27,"Machine Learning,SQL"
J00200,C0098,Financial adviser,Land/geomatics surveyor,Johnsonside,Internship,59813,142579,2025-08-09,"Python,AI,Design,SQL"
J00201,C0097,Personal assistant,Rural practice surveyor,Port Bryce,Part-time,53118,135984,2025-01-18,"Management,AI"
J00202,C0056,"Accountant, chartered public finance","Research officer, government",West Davidstad,Part-time,64862,148441,2025-05-25,"Marketing,Cloud Computing,Machine Learning,Python,Design"
J00203,C0029,Technical sales engineer,Higher education lecturer,Jerryhaven,Full-time,52832,125684,2025-02-13,"Java,SQL,Machine Learning,Communication,C++"
J00204,C0092,Multimedia specialist,"Geologist, wellsite",Port Jessicamouth,Full-time,56112,105496,2025-07-07,"AI,Cloud Computing,Management,Java,Marketing"
J00205,C0072,Emergency planning/management officer,"Education officer, museum",Hancocktown,Part-time,66713,148036,2025-07-08,"AI,Java,Communication,Data Analysis,Machine Learning"
J00206,C0092,Public relations account executive,"Psychologist, sport and exercise",New Lindaburgh,Full-time,48785,142978,2025-02-28,"Design,Marketing"
